Exchange Date,Close,Net,%Chg,Open,Low,High,O-C,H-L
19-Aug-2009,996.46,+6.79,+0.69%,986.88,980.62,999.61,9.58,18.99
18-Aug-2009,989.67,+9.94,+1.01%,980.62,980.62,991.20,9.05,10.58
17-Aug-2009,979.73,-24.36,-2.43%,998.18,978.51,998.18,-18.45,19.67
14-Aug-2009,"1,004.09",-8.64,-0.85%,"1,012.23",994.60,"1,012.60",-8.14,18.00
13-Aug-2009,"1,012.73",+6.92,+0.69%,"1,005.86","1,000.82","1,013.14",6.87,12.32
12-Aug-2009,"1,005.81",+11.46,+1.15%,994.00,993.36,"1,012.78",11.81,19.42
11-Aug-2009,994.35,-12.75,-1.27%,"1,005.77",992.40,"1,005.77",-11.42,13.37
10-Aug-2009,"1,007.10",-3.38,-0.33%,"1,008.89","1,000.99","1,010.12",-1.79,9.13
07-Aug-2009,"1,010.48",+13.40,+1.34%,999.83,999.83,"1,018.00",10.65,18.17
06-Aug-2009,997.08,-5.64,-0.56%,"1,004.06",992.49,"1,008.00",-6.98,15.51
05-Aug-2009,"1,002.72",-2.93,-0.29%,"1,005.41",994.31,"1,006.64",-2.69,12.33
04-Aug-2009,"1,005.65",+3.02,+0.30%,"1,001.41",996.68,"1,007.12",4.24,10.44
03-Aug-2009,"1,002.63",+15.15,+1.53%,990.22,990.22,"1,003.61",12.41,13.39
31-Jul-2009,987.48,+0.73,+0.07%,986.80,982.85,993.18,0.68,10.33
30-Jul-2009,986.75,+11.60,+1.19%,976.01,976.01,996.68,10.74,20.67
29-Jul-2009,975.15,-4.47,-0.46%,977.66,968.65,977.76,-2.51,9.11
28-Jul-2009,979.62,-2.56,-0.26%,981.48,969.35,982.35,-1.86,13.00
27-Jul-2009,982.18,+2.92,+0.30%,978.63,972.29,982.49,3.55,10.20
24-Jul-2009,979.26,+2.97,+0.30%,972.16,965.95,979.79,7.10,13.84
23-Jul-2009,976.29,+22.22,+2.33%,954.07,953.27,979.42,22.22,26.15
22-Jul-2009,954.07,-0.51,-0.05%,953.40,947.75,959.83,0.67,12.08
21-Jul-2009,954.58,+3.45,+0.36%,951.97,943.22,956.53,2.61,13.31
20-Jul-2009,951.13,+10.75,+1.14%,942.07,940.99,951.62,9.06,10.63
17-Jul-2009,940.38,-0.36,-0.04%,940.56,934.65,941.89,-0.18,7.24
16-Jul-2009,940.74,+8.06,+0.86%,930.17,927.45,943.96,10.57,16.51
15-Jul-2009,932.68,+26.84,+2.96%,910.15,910.15,933.95,22.53,23.80
14-Jul-2009,905.84,+4.79,+0.53%,900.77,896.50,905.84,5.07,9.34
13-Jul-2009,901.05,+21.92,+2.49%,879.57,875.32,901.05,21.48,25.73
10-Jul-2009,879.13,-3.55,-0.40%,880.03,872.81,883.57,-0.90,10.76
09-Jul-2009,882.68,+3.12,+0.35%,881.28,878.45,887.86,1.40,9.41
08-Jul-2009,879.56,-1.47,-0.17%,881.90,869.32,886.80,-2.34,17.48
07-Jul-2009,881.03,-17.69,-1.97%,898.60,879.93,898.60,-17.57,18.67
06-Jul-2009,898.72,+2.30,+0.26%,894.27,886.36,898.72,4.45,12.36
02-Jul-2009,896.42,-26.91,-2.91%,921.24,896.42,921.24,-24.82,24.82
01-Jul-2009,923.33,+4.01,+0.44%,920.82,920.82,931.92,2.51,11.10
30-Jun-2009,919.32,-7.91,-0.85%,927.15,912.86,930.01,-7.83,17.15
29-Jun-2009,927.23,+8.33,+0.91%,919.86,916.18,927.99,7.37,11.81
26-Jun-2009,918.90,-1.36,-0.15%,918.84,913.03,922.00,0.06,8.97
25-Jun-2009,920.26,+19.32,+2.14%,899.45,896.27,921.42,20.81,25.15
24-Jun-2009,900.94,+5.84,+0.65%,896.31,896.31,910.85,4.63,14.54
23-Jun-2009,895.10,+2.06,+0.23%,893.46,888.86,898.69,1.64,9.83
22-Jun-2009,893.04,-28.19,-3.06%,918.13,893.04,918.13,-25.09,25.09
19-Jun-2009,921.23,+2.86,+0.31%,919.96,915.80,927.09,1.27,11.29
18-Jun-2009,918.37,+7.66,+0.84%,910.86,907.94,921.93,7.51,13.99
17-Jun-2009,910.71,-1.26,-0.14%,911.89,903.78,918.44,-1.18,14.66
16-Jun-2009,911.97,-11.75,-1.27%,925.60,911.60,928.00,-13.63,16.40
15-Jun-2009,923.72,-22.49,-2.38%,942.45,919.65,942.45,-18.73,22.80
12-Jun-2009,946.21,+1.32,+0.14%,943.44,935.66,946.30,2.77,10.64
11-Jun-2009,944.89,+5.74,+0.61%,939.04,939.04,956.23,5.85,17.19
10-Jun-2009,939.15,-3.28,-0.35%,942.73,927.97,949.77,-3.58,21.80
09-Jun-2009,942.43,+3.29,+0.35%,940.35,936.15,946.92,2.08,10.77
08-Jun-2009,939.14,-0.95,-0.10%,938.12,926.44,946.33,1.02,19.89
05-Jun-2009,940.09,-2.37,-0.25%,945.67,934.13,951.69,-5.58,17.56
04-Jun-2009,942.46,+10.70,+1.15%,932.49,929.32,942.47,9.97,13.15
03-Jun-2009,931.76,-12.98,-1.37%,942.51,923.85,942.51,-10.75,18.66
02-Jun-2009,944.74,+1.87,+0.20%,942.87,938.46,949.38,1.87,10.92
01-Jun-2009,942.87,+23.73,+2.58%,923.26,923.26,947.77,19.61,24.51
29-May-2009,919.14,+12.31,+1.36%,907.02,903.56,920.02,12.12,16.46
28-May-2009,906.83,+13.77,+1.54%,892.96,887.60,909.45,13.87,21.85
27-May-2009,893.06,-17.27,-1.90%,909.95,891.87,913.84,-16.89,21.97
26-May-2009,910.33,+23.33,+2.63%,887.00,881.46,911.76,23.33,30.30
22-May-2009,887.00,-1.33,-0.15%,888.68,883.75,896.65,-1.68,12.90
21-May-2009,888.33,-15.14,-1.68%,900.42,879.61,900.42,-12.09,20.81
20-May-2009,903.47,-4.66,-0.51%,908.62,901.37,924.60,-5.15,23.23
19-May-2009,908.13,-1.58,-0.17%,909.67,905.22,916.39,-1.54,11.17
18-May-2009,909.71,+26.83,+3.04%,886.07,886.07,910.00,23.64,23.93
15-May-2009,882.88,-10.19,-1.14%,892.76,878.94,896.97,-9.88,18.03
14-May-2009,893.07,+9.15,+1.04%,884.24,882.52,898.36,8.83,15.84
13-May-2009,883.92,-24.43,-2.69%,905.40,882.80,905.40,-21.48,22.60
12-May-2009,908.35,-0.89,-0.10%,910.52,896.46,915.57,-2.17,19.11
11-May-2009,909.24,-19.99,-2.15%,922.99,908.68,922.99,-13.75,14.31
08-May-2009,929.23,+21.84,+2.41%,909.03,909.03,930.17,20.20,21.14
07-May-2009,907.39,-12.14,-1.32%,919.58,901.36,929.58,-12.19,28.22
06-May-2009,919.53,+15.73,+1.74%,903.95,903.95,920.28,15.58,16.33
05-May-2009,903.80,-3.44,-0.38%,906.10,897.34,907.70,-2.30,10.36
04-May-2009,907.24,+29.72,+3.39%,879.21,879.21,907.85,28.03,28.64
01-May-2009,877.52,+4.71,+0.54%,872.74,866.10,880.48,4.78,14.38
30-Apr-2009,872.81,-0.83,-0.10%,876.59,868.51,888.70,-3.78,20.19
29-Apr-2009,873.64,+18.48,+2.16%,856.85,856.85,882.06,16.79,25.21
28-Apr-2009,855.16,-2.35,-0.27%,854.48,847.12,864.48,0.68,17.36
27-Apr-2009,857.51,-8.72,-1.01%,862.82,854.65,868.83,-5.31,14.18
24-Apr-2009,866.23,+14.31,+1.68%,853.91,853.91,871.80,12.32,17.89
23-Apr-2009,851.92,+8.37,+0.99%,844.62,835.45,852.87,7.30,17.42
22-Apr-2009,843.55,-6.53,-0.77%,847.26,840.57,861.78,-3.71,21.21
21-Apr-2009,850.08,+17.69,+2.13%,831.25,826.83,850.09,18.83,23.26
20-Apr-2009,832.39,-37.21,-4.28%,868.27,832.39,868.27,-35.88,35.88
17-Apr-2009,869.60,+4.30,+0.50%,865.18,860.87,875.63,4.42,14.76
16-Apr-2009,865.30,+13.24,+1.55%,854.54,847.04,870.35,10.76,23.31
15-Apr-2009,852.06,+10.56,+1.25%,839.44,835.58,852.93,12.62,17.35
14-Apr-2009,841.50,-17.23,-2.01%,856.88,840.25,856.88,-15.38,16.63
13-Apr-2009,858.73,+2.17,+0.25%,855.33,845.35,864.31,3.40,18.96
09-Apr-2009,856.56,+31.40,+3.81%,829.29,829.29,856.91,27.27,27.62
08-Apr-2009,825.16,+9.61,+1.18%,816.76,814.84,828.42,8.40,13.58
07-Apr-2009,815.55,-19.93,-2.39%,834.12,814.53,834.12,-18.57,19.59
06-Apr-2009,835.48,-7.02,-0.83%,839.75,822.79,839.75,-4.27,16.96
03-Apr-2009,842.50,+8.12,+0.97%,835.13,826.70,842.50,7.37,15.80
02-Apr-2009,834.38,+23.30,+2.87%,814.53,814.53,845.61,19.85,31.08
01-Apr-2009,811.08,+13.21,+1.66%,793.59,783.32,813.62,17.49,30.30
31-Mar-2009,797.87,+10.34,+1.31%,790.88,790.88,810.48,6.99,19.60
30-Mar-2009,787.53,-28.41,-3.48%,809.07,779.81,809.07,-21.54,29.26
27-Mar-2009,815.94,-16.92,-2.03%,828.68,813.43,828.68,-12.74,15.25
26-Mar-2009,832.86,+18.98,+2.33%,814.06,814.06,832.98,18.80,18.92
25-Mar-2009,813.88,+7.76,+0.96%,806.81,791.37,826.78,7.07,35.41
24-Mar-2009,806.12,-16.80,-2.04%,820.60,805.48,823.65,-14.48,18.17
23-Mar-2009,822.92,+54.38,+7.08%,772.31,772.31,823.37,50.61,51.06
20-Mar-2009,768.54,-15.50,-1.98%,784.58,766.20,788.91,-16.04,22.71
19-Mar-2009,784.04,-10.31,-1.30%,797.92,781.82,803.24,-13.88,21.42
18-Mar-2009,794.35,+16.23,+2.09%,776.01,765.64,803.04,18.34,37.40
17-Mar-2009,778.12,+24.23,+3.21%,753.88,749.93,778.12,24.24,28.19
16-Mar-2009,753.89,-2.66,-0.35%,758.84,753.37,774.53,-4.95,21.16
13-Mar-2009,756.55,+5.81,+0.77%,751.97,742.46,758.29,4.58,15.83
12-Mar-2009,750.74,+29.38,+4.07%,720.89,714.76,752.63,29.85,37.87
11-Mar-2009,721.36,+1.76,+0.24%,719.59,713.85,731.92,1.77,18.07
10-Mar-2009,719.60,+43.07,+6.37%,679.28,679.28,719.60,40.32,40.32
09-Mar-2009,676.53,-6.85,-1.00%,680.76,672.88,695.27,-4.23,22.39
06-Mar-2009,683.38,+0.83,+0.12%,684.04,666.79,699.09,-0.66,32.30
05-Mar-2009,682.55,-30.32,-4.25%,708.27,677.93,708.27,-25.72,30.34
