"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2005","1,536.48","1,535.48","1,542.73","1,530.91","-","-0.05%"
"Jun 20, 2005","1,537.31","1,529.65","1,545.52","1,526.06","-","-0.05%"
"Jun 17, 2005","1,538.13","1,550.63","1,550.63","1,532.56","-","0.05%"
"Jun 16, 2005","1,537.42","1,531.02","1,540.52","1,527.71","-","0.52%"
"Jun 15, 2005","1,529.49","1,533.90","1,535.43","1,510.82","-","0.33%"
"Jun 14, 2005","1,524.42","1,529.02","1,534.15","1,520.88","-","-0.31%"
"Jun 13, 2005","1,529.13","1,519.61","1,538.66","1,519.61","-","0.53%"
"Jun 10, 2005","1,521.02","1,537.57","1,537.57","1,515.96","-","-1.20%"
"Jun 09, 2005","1,539.46","1,526.15","1,542.75","1,520.61","-","0.77%"
"Jun 08, 2005","1,527.68","1,536.92","1,538.24","1,524.13","-","-0.22%"
"Jun 07, 2005","1,531.12","1,546.71","1,559.53","1,531.07","-","-0.92%"
"Jun 06, 2005","1,545.27","1,544.96","1,548.55","1,539.57","-","0.05%"
"Jun 03, 2005","1,544.48","1,565.48","1,566.14","1,542.05","-","-1.56%"
"Jun 02, 2005","1,568.96","1,553.43","1,568.96","1,553.05","-","0.61%"
"Jun 01, 2005","1,559.50","1,541.73","1,567.72","1,541.66","-","1.09%"
"May 31, 2005","1,542.63","1,549.48","1,550.18","1,538.54","-","-0.46%"
"May 27, 2005","1,549.80","1,546.74","1,551.03","1,541.76","-","0.06%"
"May 26, 2005","1,548.80","1,540.05","1,551.12","1,539.74","-","1.05%"
"May 25, 2005","1,532.71","1,535.90","1,535.39","1,524.41","-","-0.50%"
"May 24, 2005","1,540.47","1,531.25","1,540.68","1,529.40","-","0.34%"
"May 23, 2005","1,535.22","1,526.97","1,540.30","1,525.23","-","0.47%"
"May 20, 2005","1,528.06","1,519.26","1,528.06","1,514.54","-","0.44%"
"May 19, 2005","1,521.43","1,510.62","1,521.50","1,508.71","-","0.81%"
"May 18, 2005","1,509.26","1,493.03","1,514.76","1,489.47","-","1.28%"
"May 17, 2005","1,490.14","1,474.05","1,490.14","1,469.44","-","0.64%"
"May 16, 2005","1,480.68","1,470.31","1,481.32","1,465.85","-","0.68%"
"May 13, 2005","1,470.63","1,459.23","1,478.89","1,455.88","-","1.09%"
"May 12, 2005","1,454.79","1,459.07","1,468.17","1,446.97","-","-0.33%"
"May 11, 2005","1,459.55","1,452.31","1,461.02","1,432.83","-","0.63%"
"May 10, 2005","1,450.36","1,453.25","1,458.40","1,445.11","-","-0.89%"
"May 09, 2005","1,463.38","1,455.68","1,463.38","1,446.77","-","0.51%"
"May 06, 2005","1,456.00","1,460.26","1,460.76","1,449.70","-","0.40%"
"May 05, 2005","1,450.16","1,450.73","1,457.34","1,441.94","-","-0.14%"
"May 04, 2005","1,452.20","1,431.06","1,453.20","1,429.62","-","1.72%"
"May 03, 2005","1,427.61","1,421.28","1,436.60","1,421.28","-","0.27%"
"May 02, 2005","1,423.71","1,421.90","1,430.05","1,415.60","-","0.21%"
"Apr 29, 2005","1,420.79","1,420.64","1,422.42","1,394.36","-","0.82%"
"Apr 28, 2005","1,409.29","1,418.12","1,425.69","1,408.84","-","-1.02%"
"Apr 27, 2005","1,423.76","1,413.22","1,429.11","1,409.49","-","0.23%"
"Apr 26, 2005","1,420.43","1,431.75","1,446.82","1,420.43","-","-1.17%"
"Apr 25, 2005","1,437.31","1,430.99","1,439.63","1,426.73","-","1.13%"
"Apr 22, 2005","1,421.21","1,437.97","1,438.72","1,412.63","-","-1.81%"
"Apr 21, 2005","1,447.37","1,423.62","1,448.37","1,419.25","-","2.88%"
"Apr 20, 2005","1,406.85","1,430.25","1,432.11","1,404.86","-","-0.98%"
"Apr 19, 2005","1,420.80","1,419.53","1,424.03","1,410.54","-","0.77%"
"Apr 18, 2005","1,409.98","1,406.30","1,418.76","1,405.09","-","0.10%"
"Apr 15, 2005","1,408.59","1,425.73","1,434.47","1,407.82","-","-2.26%"
