"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","106.95","107.40","107.58","106.82","5.06M","-0.68%"
"Dec 29, 2005","107.68","107.94","108.15","107.55","2.91M","-0.16%"
"Dec 28, 2005","107.85","107.99","108.15","107.69","4.32M","0.09%"
"Dec 27, 2005","107.75","108.94","109.25","107.64","8.66M","-0.92%"
"Dec 23, 2005","108.75","108.85","108.95","108.60","1.91M","0.04%"
"Dec 22, 2005","108.71","108.36","108.75","108.16","4.25M","0.52%"
"Dec 21, 2005","108.15","108.08","108.84","107.99","5.92M","0.24%"
"Dec 20, 2005","107.89","108.24","108.42","107.70","5.05M","-0.30%"
"Dec 19, 2005","108.21","108.80","109.05","108.05","7.58M","-0.28%"
"Dec 16, 2005","108.51","108.98","109.24","108.50","4.57M","-0.24%"
"Dec 15, 2005","108.77","109.00","109.50","108.70","8.46M","-0.21%"
"Dec 14, 2005","109.00","108.42","109.29","108.42","7.05M","0.56%"
"Dec 13, 2005","108.39","107.76","108.79","107.58","7.73M","0.62%"
"Dec 12, 2005","107.72","108.10","108.20","107.42","5.10M","-0.02%"
"Dec 09, 2005","107.74","107.67","108.11","107.35","5.13M","0.09%"
"Dec 08, 2005","107.64","108.17","108.53","107.37","7.45M","-0.43%"
"Dec 07, 2005","108.10","108.68","108.73","107.69","8.61M","-0.55%"
"Dec 06, 2005","108.70","108.81","109.28","108.48","5.14M","0.29%"
"Dec 05, 2005","108.39","108.59","108.76","108.14","4.61M","-0.40%"
"Dec 02, 2005","108.82","109.03","109.26","108.65","5.15M","-0.22%"
"Dec 01, 2005","109.06","108.74","109.39","108.64","5.85M","0.78%"
"Nov 30, 2005","108.22","108.98","109.28","108.07","6.16M","-0.62%"
"Nov 29, 2005","108.89","109.31","109.59","108.87","6.53M","-0.14%"
"Nov 28, 2005","109.04","109.42","109.49","108.76","7.21M","-0.27%"
"Nov 25, 2005","109.33","109.22","109.50","109.22","1.59M","0.14%"
"Nov 23, 2005","109.18","108.42","109.46","108.42","5.40M","0.50%"
"Nov 22, 2005","108.64","107.98","108.74","107.84","7.23M","0.44%"
"Nov 21, 2005","108.16","107.76","108.30","107.53","5.13M","0.59%"
"Nov 18, 2005","107.53","107.57","107.70","106.90","8.01M","0.14%"
"Nov 17, 2005","107.38","107.14","107.48","106.86","5.31M","0.32%"
"Nov 16, 2005","107.04","107.16","107.35","106.73","6.91M","-0.07%"
"Nov 15, 2005","107.12","107.18","107.57","106.77","7.41M","-0.07%"
"Nov 14, 2005","107.20","106.96","107.24","106.89","3.61M","0.17%"
"Nov 11, 2005","107.02","106.56","107.11","106.50","3.30M","0.41%"
"Nov 10, 2005","106.58","105.59","106.68","105.33","7.61M","0.93%"
"Nov 09, 2005","105.60","105.42","106.11","105.27","4.39M","0.00%"
"Nov 08, 2005","105.60","105.45","105.74","105.30","3.08M","-0.01%"
"Nov 07, 2005","105.61","105.49","105.87","105.17","3.32M","0.40%"
"Nov 04, 2005","105.19","105.37","105.49","104.74","4.16M","-0.05%"
"Nov 03, 2005","105.24","105.15","105.59","104.88","6.46M","0.52%"
"Nov 02, 2005","104.70","103.86","104.89","103.76","6.40M","0.54%"
"Nov 01, 2005","104.14","104.25","104.48","103.97","5.38M","0.22%"
"Oct 31, 2005","103.91","104.24","104.79","103.89","5.55M","0.07%"
"Oct 28, 2005","103.84","102.65","103.96","102.46","8.51M","1.47%"
"Oct 27, 2005","102.34","103.32","103.42","102.20","5.42M","-1.15%"
"Oct 26, 2005","103.53","103.45","104.26","103.31","7.68M","-0.19%"
"Oct 25, 2005","103.73","103.58","104.06","103.07","6.67M","-0.02%"
"Oct 24, 2005","103.75","102.54","103.84","102.44","11.28M","1.58%"
"Oct 21, 2005","102.14","102.97","103.05","101.87","10.68M","-0.62%"
"Oct 20, 2005","102.78","104.06","104.38","102.49","10.70M","-1.47%"
"Oct 19, 2005","104.31","102.61","104.35","102.36","12.39M","1.40%"
"Oct 18, 2005","102.87","103.56","103.76","102.86","4.80M","-0.61%"
"Oct 17, 2005","103.50","103.07","103.64","102.94","10.07M","0.65%"
"Oct 14, 2005","102.83","102.49","102.97","102.00","8.78M","0.85%"
"Oct 13, 2005","101.96","102.03","102.44","101.58","8.09M","-0.07%"
"Oct 12, 2005","102.03","102.54","103.12","101.88","16.99M","-0.49%"
"Oct 11, 2005","102.53","102.69","103.18","102.35","7.94M","0.21%"
"Oct 10, 2005","102.32","103.18","103.24","102.29","5.05M","-0.63%"
"Oct 07, 2005","102.97","103.35","103.51","102.82","6.86M","0.07%"
"Oct 06, 2005","102.90","103.34","103.71","102.19","11.18M","-0.31%"
"Oct 05, 2005","103.22","104.28","104.35","103.16","8.90M","-0.91%"
"Oct 04, 2005","104.17","105.46","105.64","104.17","6.46M","-1.05%"
"Oct 03, 2005","105.28","105.74","106.01","105.16","5.41M","-0.44%"
"Sep 30, 2005","105.75","105.36","105.79","105.20","4.17M","0.33%"
